english	translation	category	sub_category	source
The IV Jad Challenge	The IV Jad Challenge	interface	combAchvmt	
TzHaar-Ket-Rak's Speed-Chaser	TzHaar-Ket-Rak's Speed-Chaser	interface	combAchvmt	
Facing Jad Head-on IV	Facing Jad Head-on IV	interface	combAchvmt	
Supplies? Who Needs 'em?	Supplies? Who Needs 'em?	interface	combAchvmt	
Multi-Style Specialist	Multi-Style Specialist	interface	combAchvmt	
Hard Mode? Completed It	Hard Mode? Completed It	interface	combAchvmt	
Theatre of Blood: SM Speed-Chaser	Theatre of Blood: SM Speed-Chaser	interface	combAchvmt	
Phosani's Master	Phosani's Master	interface	combAchvmt	
Phosani's Speedchaser	Phosani's Speedchaser	interface	combAchvmt	
Crush Hour	Crush Hour	interface	combAchvmt	
I Would Simply React	I Would Simply React	interface	combAchvmt	
Dreamland Express	Dreamland Express	interface	combAchvmt	
Nex Master	Nex Master	interface	combAchvmt	
A siphon will solve this	A siphon will solve this	interface	combAchvmt	
Contain this!	Contain this!	interface	combAchvmt	
There is no escape!	There is no escape!	interface	combAchvmt	
Nex Trio	Nex Trio	interface	combAchvmt	
Shadows Move...	Shadows Move...	interface	combAchvmt	
You are not prepared	You are not prepared	interface	combAchvmt	
Tomb Looter	Tomb Looter	interface	combAchvmt	
Tomb Raider	Tomb Raider	interface	combAchvmt	
Tombs Speed Runner	Tombs Speed Runner	interface	combAchvmt	
Something of an expert myself	Something of an expert myself	interface	combAchvmt	
Expert Tomb Looter	Expert Tomb Looter	interface	combAchvmt	
Ba-Bananza	Ba-Bananza	interface	combAchvmt	
Rockin' around the croc	Rockin' around the croc	interface	combAchvmt	
Doesn't bug me	Doesn't bug me	interface	combAchvmt	
All out of medics	All out of medics	interface	combAchvmt	
Better get movin'	Better get movin'	interface	combAchvmt	
Warden't you believe it	Warden't you believe it	interface	combAchvmt	
Resourceful Raider	Resourceful Raider	interface	combAchvmt	
But... Damage	But... Damage	interface	combAchvmt	
Chompington	Chompington	interface	combAchvmt	
Fancy feet	Fancy feet	interface	combAchvmt	
Perfect Akkha	Perfect Akkha	interface	combAchvmt	
Perfect Ba-Ba	Perfect Ba-Ba	interface	combAchvmt	
Perfect Zebak	Perfect Zebak	interface	combAchvmt	
Perfect Scabaras	Perfect Scabaras	interface	combAchvmt	
Perfect Kephri	Perfect Kephri	interface	combAchvmt	
Perfect Wardens	Perfect Wardens	interface	combAchvmt	
More than just a ranged weapon	More than just a ranged weapon	interface	combAchvmt	
Essence Farmer	Essence Farmer	interface	combAchvmt	
Phantom Muspah Speed-Chaser	Phantom Muspah Speed-Chaser	interface	combAchvmt	
Phantom Muspah Master	Phantom Muspah Master	interface	combAchvmt	
Walk Straight Pray True	Walk Straight Pray True	interface	combAchvmt	
Space is Tight	Space is Tight	interface	combAchvmt	
Perfect Whisperer	Perfect Whisperer	interface	combAchvmt	
Duke Sucellus Master	Duke Sucellus Master	interface	combAchvmt	
Vardorvis Master	Vardorvis Master	interface	combAchvmt	
Whisperer Master	Whisperer Master	interface	combAchvmt	
Leviathan Master	Leviathan Master	interface	combAchvmt	
Duke Sucellus Speed-Chaser	Duke Sucellus Speed-Chaser	interface	combAchvmt	
Vardorvis Speed-Chaser	Vardorvis Speed-Chaser	interface	combAchvmt	
Whisperer Speed-Chaser	Whisperer Speed-Chaser	interface	combAchvmt	
Leviathan Speed-Chaser	Leviathan Speed-Chaser	interface	combAchvmt	
Cold Feet	Cold Feet	interface	combAchvmt	
Perfect Duke Sucellus	Perfect Duke Sucellus	interface	combAchvmt	
Serpentine Solo	Serpentine Solo	interface	combAchvmt	
Perfect Leviathan	Perfect Leviathan	interface	combAchvmt	
Budget Cutter	Budget Cutter	interface	combAchvmt	
Perfect Vardorvis	Perfect Vardorvis	interface	combAchvmt	
Sportsmanship	Sportsmanship	interface	combAchvmt	
I Brought Mine Too	I Brought Mine Too	interface	combAchvmt	
Showboating	Showboating	interface	combAchvmt	
One-off	One-off	interface	combAchvmt	
Colosseum Speed-Chaser	Colosseum Speed-Chaser	interface	combAchvmt	
Three Times the Thrashing	Three Times the Thrashing	interface	combAchvmt	
Araxxor Master	Araxxor Master	interface	combAchvmt	
Araxxor Speed-Chaser	Araxxor Speed-Chaser	interface	combAchvmt	
Perfect Araxxor	Perfect Araxxor	interface	combAchvmt	
Let it seep in	Let it seep in	interface	combAchvmt	
Araxyte Betrayal	Araxyte Betrayal	interface	combAchvmt	
Arachnid Lover	Arachnid Lover	interface	combAchvmt	
Is it a bird?	Is it a bird?	interface	combAchvmt	
Hueycoatl Speed-Chaser	Hueycoatl Speed-Chaser	interface	combAchvmt	
The Worst Ranged Weapon	The Worst Ranged Weapon	interface	combAchvmt	
Feather Hunter	Feather Hunter	interface	combAchvmt	
Defence Matters	Defence Matters	interface	combAchvmt	
Keep Away	Keep Away	interface	combAchvmt	
Ourg Killer	Ourg Killer	interface	combAchvmt	
Grotesque Guardians Speed-Runner	Grotesque Guardians Speed-Runner	interface	combAchvmt	
Corrupted Gauntlet Grandmaster	Corrupted Gauntlet Grandmaster	interface	combAchvmt	
Egniol Diet II	Egniol Diet II	interface	combAchvmt	
Wolf Puncher II	Wolf Puncher II	interface	combAchvmt	
Corrupted Gauntlet Speed-Runner	Corrupted Gauntlet Speed-Runner	interface	combAchvmt	
Gauntlet Speed-Runner	Gauntlet Speed-Runner	interface	combAchvmt	
No Pressure	No Pressure	interface	combAchvmt	
Alchemical Speed-Runner	Alchemical Speed-Runner	interface	combAchvmt	
Denying the Healers II	Denying the Healers II	interface	combAchvmt	
No Time for a Drink	No Time for a Drink	interface	combAchvmt	
Fight Caves Speed-Runner	Fight Caves Speed-Runner	interface	combAchvmt	
Terrible Parent	Terrible Parent	interface	combAchvmt	
A Long Trip	A Long Trip	interface	combAchvmt	
Nightmare (Solo) Speed-Runner	Nightmare (Solo) Speed-Runner	interface	combAchvmt	
Nightmare (<Num0>-Scale) Speed-Runner		interface	combAchvmt	
Animal Whisperer	Animal Whisperer	interface	combAchvmt	
Peach Conjurer	Peach Conjurer	interface	combAchvmt	
Zulrah Speed-Runner	Zulrah Speed-Runner	interface	combAchvmt	
Theatre of Blood Grandmaster	Theatre of Blood Grandmaster	interface	combAchvmt	
Perfect Theatre	Perfect Theatre	interface	combAchvmt	
Morytania Only	Morytania Only	interface	combAchvmt	
Theatre (Duo) Speed-Runner	Theatre (Duo) Speed-Runner	interface	combAchvmt	
Theatre (Trio) Speed-Runner	Theatre (Trio) Speed-Runner	interface	combAchvmt	
Theatre (<Num0>-Scale) Speed-Runner		interface	combAchvmt	
Faithless Encounter	Faithless Encounter	interface	combAchvmt	
The Fremennik Way	The Fremennik Way	interface	combAchvmt	
Vorkath Speed-Runner	Vorkath Speed-Runner	interface	combAchvmt	
Chambers of Xeric: CM Grandmaster	Chambers of Xeric: CM Grandmaster	interface	combAchvmt	
Chambers of Xeric: CM (Solo) Speed-Runner	Chambers of Xeric: CM (Solo) Speed-Runner	interface	combAchvmt	
Chambers of Xeric: CM (<Num0>-Scale) Speed-Runner	Chambers of Xeric: CM (<Num0> fős) – Gyors teljesítő	interface	combAchvmt	
Chambers of Xeric: CM (Trio) Speed-Runner	Chambers of Xeric: CM (Trio) Speed-Runner	interface	combAchvmt	
Chambers of Xeric Grandmaster	Chambers of Xeric Grandmaster	interface	combAchvmt	
Chambers of Xeric (Solo) Speed-Runner	Chambers of Xeric (Solo) Speed-Runner	interface	combAchvmt	
Chambers of Xeric (Trio) Speed-Runner	Chambers of Xeric (Trio) Speed-Runner	interface	combAchvmt	
Chambers of Xeric (<Num0>-Scale) Speed-Runner	Chambers of Xeric (<Num0> fős) – Gyors teljesítő	interface	combAchvmt	
Demon Whisperer	Demon Whisperer	interface	combAchvmt	
Ash Collector	Ash Collector	interface	combAchvmt	
Inferno Grandmaster	Inferno Grandmaster	interface	combAchvmt	
The Floor Is Lava	The Floor Is Lava	interface	combAchvmt	
Playing with Jads	Playing with Jads	interface	combAchvmt	
No Luck Required	No Luck Required	interface	combAchvmt	
Wasn't Even Close	Wasn't Even Close	interface	combAchvmt	
Budget Setup	Budget Setup	interface	combAchvmt	
Nibbler Chaser	Nibbler Chaser	interface	combAchvmt	
Facing Jad Head-on II	Facing Jad Head-on II	interface	combAchvmt	
Jad? What Are You Doing Here?	Jad? What Are You Doing Here?	interface	combAchvmt	
Inferno Speed-Runner	Inferno Speed-Runner	interface	combAchvmt	
The VI Jad Challenge	The VI Jad Challenge	interface	combAchvmt	
TzHaar-Ket-Rak's Speed-Runner	TzHaar-Ket-Rak's Speed-Runner	interface	combAchvmt	
It Wasn't a Fluke	It Wasn't a Fluke	interface	combAchvmt	
Stop Right There!	Állj meg te ott!	interface	combAchvmt	
Personal Space	Personal Space	interface	combAchvmt	
Royal Affairs	Royal Affairs	interface	combAchvmt	
Harder Mode I	Harder Mode I	interface	combAchvmt	
Harder Mode II	Harder Mode II	interface	combAchvmt	
Nylo Sniper	Nylo Sniper	interface	combAchvmt	
Team Work Makes the Dream Work	Team Work Makes the Dream Work	interface	combAchvmt	
Harder Mode III	Harder Mode III	interface	combAchvmt	
Pack Like a Yak	Pack Like a Yak	interface	combAchvmt	
Theatre: HM (Trio) Speed-Runner	Theatre: HM (Trio) Speed-Runner	interface	combAchvmt	
Theatre: HM (<Num0>-Scale) Speed-Runner		interface	combAchvmt	
Theatre of Blood: HM Grandmaster	Theatre of Blood: HM Grandmaster	interface	combAchvmt	
Phosani's Grandmaster	Phosani's Grandmaster	interface	combAchvmt	
Perfect Phosani's Nightmare	Perfect Phosani's Nightmare	interface	combAchvmt	
Phosani's Speedrunner	Phosani's Speedrunner	interface	combAchvmt	
Can't Wake Up	Can't Wake Up	interface	combAchvmt	
Nex Duo	Nex Duo	interface	combAchvmt	
I should see a doctor	I should see a doctor	interface	combAchvmt	
Perfect Nex	Perfect Nex	interface	combAchvmt	
Tombs Speed Runner II	Tombs Speed Runner II	interface	combAchvmt	
Amascut's Remnant	Amascut's Remnant	interface	combAchvmt	
Maybe I'm the boss.	Maybe I'm the boss.	interface	combAchvmt	
Expert Tomb Raider	Expert Tomb Raider	interface	combAchvmt	
Akkhan't Do it	Akkhan't Do it	interface	combAchvmt	
All Praise Zebak	All Praise Zebak	interface	combAchvmt	
Perfection of Het	Perfection of Het	interface	combAchvmt	
Perfection of Apmeken	Perfection of Apmeken	interface	combAchvmt	
Perfection of Crondis	Perfection of Crondis	interface	combAchvmt	
Perfection of Scabaras	Perfection of Scabaras	interface	combAchvmt	
Insanity	Insanity	interface	combAchvmt	
Phantom Muspah Manipulator	Phantom Muspah Manipulator	interface	combAchvmt	
Phantom Muspah Speed-Runner	Phantom Muspah Speed-Runner	interface	combAchvmt	
Duke Sucellus Sleeper	Duke Sucellus Sleeper	interface	combAchvmt	
Vardorvis Sleeper	Vardorvis Sleeper	interface	combAchvmt	
Whispered	Whispered	interface	combAchvmt	
Leviathan Sleeper	Leviathan Sleeper	interface	combAchvmt	
Duke Sucellus Speed-Runner	Duke Sucellus Speed-Runner	interface	combAchvmt	
Vardorvis Speed-Runner	Vardorvis Speed-Runner	interface	combAchvmt	
Whisperer Speed-Runner	Whisperer Speed-Runner	interface	combAchvmt	
Leviathan Speed-Runner	Leviathan Speed-Runner	interface	combAchvmt	
Axe Enthusiast	Axe Enthusiast	interface	combAchvmt	
Unconventional	Unconventional	interface	combAchvmt	
Dark Memories	Dark Memories	interface	combAchvmt	
Mirror Image	Mirror Image	interface	combAchvmt	
Colosseum Grand Champion	Colosseum Grand Champion	interface	combAchvmt	
Slow Dancing in the Sand	Slow Dancing in the Sand	interface	combAchvmt	
Perfect Footwork	Perfect Footwork	interface	combAchvmt	
Reinforcements	Reinforcements	interface	combAchvmt	
Colosseum Speed-Runner	Colosseum Speed-Runner	interface	combAchvmt	
Araxxor Speed-Runner	Araxxor Speed-Runner	interface	combAchvmt	
Perfect Araxxor <Num0>		interface	combAchvmt	
Swimming in Venom	Swimming in Venom	interface	combAchvmt	
Hueycoatl Speed-Runner	Hueycoatl Speed-Runner	interface	combAchvmt	
Type: <colNum0>Kill Count</col> <colNum1>(+<Num0> point)</col>		interface	combAchvmt	
Description: <colNum0>Kill an Aberrant Spectre.</col>	Leírás: <colNum0>Kill an Aberrant Spectre.</col>	interface	combAchvmt	
Description: <colNum0>Open the Barrows chest <Num0> times.</col>	Leírás: <colNum0>Open the Barrows chest <Num0> times.</col>	interface	combAchvmt	
Type: <colNum0>Restriction</col> <colNum1>(+<Num0> point)</col>		interface	combAchvmt	
Description: <colNum0>Kill any Barrows Brother using only magical damage.</col>	Leírás: <colNum0>Kill any Barrows Brother using only magical damage.</col>	interface	combAchvmt	
Description: <colNum0>Kill a Black Dragon.</col>	Leírás: <colNum0>Kill a Black Dragon.</col>	interface	combAchvmt	
Description: <colNum0>Kill a Bloodveld.</col>	Leírás: <colNum0>Kill a Bloodveld.</col>	interface	combAchvmt	
Description: <colNum0>Kill Bryophyta once.</col>	Leírás: <colNum0>Kill Bryophyta once.</col>	interface	combAchvmt	
Type: <colNum0>Mechanical</col> <colNum1>(+<Num0> point)</col>		interface	combAchvmt	
Description: <colNum0>Kill Bryophyta with the Protect from Magic prayer active.</col>	Leírás: <colNum0>Kill Bryophyta with the Protect from Magic prayer active.</col>	interface	combAchvmt	
Type: <colNum0>Perfection</col> <colNum1>(+<Num0> point)</col>		interface	combAchvmt	
Description: <colNum0>Kill Bryophyta without suffering any poison damage.</col>	Leírás: <colNum0>Kill Bryophyta without suffering any poison damage.</col>	interface	combAchvmt	
Description: <colNum0>Kill Bryophyta with either poison or venom being the final source of damage.</col>	Leírás: <colNum0>Kill Bryophyta with either poison or venom being the final source of damage.</col>	interface	combAchvmt	
Description: <colNum0>Kill Bryophyta on a free to play world.</col>	Leírás: <colNum0>Kill Bryophyta on a free to play world.</col>	interface	combAchvmt	
Description: <colNum0>Kill the Deranged Archaeologist <Num0> times.</col>	Leírás: <colNum0>Kill the Deranged Archaeologist <Num0> times.</col>	interface	combAchvmt	
Description: <colNum0>Kill a Fire Giant.</col>	Leírás: <colNum0>Kill a Fire Giant.</col>	interface	combAchvmt	
Description: <colNum0>Kill a Hill Giant, Moss Giant and Fire Giant in the Giant Cave within the Shayzien region.</col>	Leírás: <colNum0>Kill a Hill Giant, Moss Giant and Fire Giant in the Giant Cave within the Shayzien region.</col>	interface	combAchvmt	
Description: <colNum0>Kill a Greater Demon.</col>	Leírás: <colNum0>Kill a Greater Demon.</col>	interface	combAchvmt	
Description: <colNum0>Finish off a Greater Demon with a demonbane weapon.</col>	Leírás: <colNum0>Finish off a Greater Demon with a demonbane weapon.</col>	interface	combAchvmt	
Description: <colNum0>Kill a Hellhound.</col>	Leírás: <colNum0>Kill a Hellhound.</col>	interface	combAchvmt	
Description: <colNum0>Kill Obor once.</col>	Leírás: <colNum0>Kill Obor once.</col>	interface	combAchvmt	
Description: <colNum0>Kill Obor whilst he is immobilized.</col>	Leírás: <colNum0>Kill Obor whilst he is immobilized.</col>	interface	combAchvmt	
Description: <colNum0>Kill Obor on a free to play world.</col>	Leírás: <colNum0>Kill Obor on a free to play world.</col>	interface	combAchvmt	
Description: <colNum0>Kill the King Black Dragon <Num0> times.</col>	Leírás: <colNum0>Kill the King Black Dragon <Num0> times.</col>	interface	combAchvmt	
Description: <colNum0>Kill a Lizardman Shaman.</col>	Leírás: <colNum0>Kill a Lizardman Shaman.</col>	interface	combAchvmt	
Description: <colNum0>Kill a Lizardman Shaman in Molch which has not dealt damage to anyone (excluding its Spawns).</col>	Leírás: <colNum0>Kill a Lizardman Shaman in Molch which has not dealt damage to anyone (excluding its Spawns).</col>	interface	combAchvmt	
Description: <colNum0>Kill the Giant Mole <Num0> times.</col>	Leírás: <colNum0>Kill the Giant Mole <Num0> times.</col>	interface	combAchvmt	
Description: <colNum0>Kill Sarachnis <Num0> times.</col>	Leírás: <colNum0>Kill Sarachnis <Num0> times.</col>	interface	combAchvmt	
Description: <colNum0>Subdue the Wintertodt <Num0> times.</col>	Leírás: <colNum0>Subdue the Wintertodt <Num0> times.</col>	interface	combAchvmt	
Description: <colNum0>Heal a pyromancer after they have fallen.</col>	Leírás: <colNum0>Heal a pyromancer after they have fallen.</col>	interface	combAchvmt	
Description: <colNum0>Repair a brazier which has been destroyed by the Wintertodt.</col>	Leírás: <colNum0>Repair a brazier which has been destroyed by the Wintertodt.</col>	interface	combAchvmt	
Description: <colNum0>Subdue the Wintertodt with four pieces of warm equipment equipped.</col>	Leírás: <colNum0>Subdue the Wintertodt with four pieces of warm equipment equipped.</col>	interface	combAchvmt	
Description: <colNum0>Kill a Wyrm.</col>	Leírás: <colNum0>Kill a Wyrm.</col>	interface	combAchvmt	
Description: <colNum0>Subdue Tempoross <Num0> times.</col>	Leírás: <colNum0>Subdue Tempoross <Num0> times.</col>	interface	combAchvmt	
Description: <colNum0>Extinguish at least <Num0> fires during a single Tempoross fight.</col>	Leírás: <colNum0>Extinguish at least <Num0> fires during a single Tempoross fight.</col>	interface	combAchvmt	
Description: <colNum0>Repair either a mast or a totem pole.</col>	Leírás: <colNum0>Repair either a mast or a totem pole.</col>	interface	combAchvmt	
Description: <colNum0>Attack Tempoross from both sides by loading both cannons on both ships.</col>	Leírás: <colNum0>Attack Tempoross from both sides by loading both cannons on both ships.</col>	interface	combAchvmt	
Description: <colNum0>Kill Scurrius once.</col>	Leírás: <colNum0>Kill Scurrius once.</col>	interface	combAchvmt	
Description: <colNum0>Finish off Scurrius with a ratbane weapon in a private instance.</col>	Leírás: <colNum0>Finish off Scurrius with a ratbane weapon in a private instance.</col>	interface	combAchvmt	
Description: <colNum0>Kill one Titan at a time, without attacking the other.</col>	Leírás: <colNum0>Kill one Titan at a time, without attacking the other.</col>	interface	combAchvmt	
Description: <colNum0>Kill the Royal Titans without attacking any elementals.</col>	Leírás: <colNum0>Kill the Royal Titans without attacking any elementals.</col>	interface	combAchvmt	
Description: <colNum0>Kill the Royal Titans while having them kill a total of <Num0> elementals.</col>	Leírás: <colNum0>Kill the Royal Titans while having them kill a total of <Num0> elementals.</col>	interface	combAchvmt	
Type: <colNum0>Mechanical</col> <colNum1>(+<Num0> points)</col>		interface	combAchvmt	
Description: <colNum0>Deal <Num0> damage to creatures using undead thralls.</col>	Leírás: <colNum0>Deal <Num0> damage to creatures using undead thralls.</col>	interface	combAchvmt	
Type: <colNum0>Kill Count</col> <colNum1>(+<Num0> points)</col>		interface	combAchvmt	
Description: <colNum0>Kill Dharok, Verac, Torag and Guthan without letting them attack you with melee.</col>	Leírás: <colNum0>Kill Dharok, Verac, Torag and Guthan without letting them attack you with melee.</col>	interface	combAchvmt	
